id,person,date,salary,raise_type
1567,315,01/01/2018,"R$ 2.825,85",raise
611,115,07/12/2017,"R$ 1.260,60",initial
587,111,05/12/2017,"R$ 2.033,58",initial
675,119,01/12/2017,"R$ 3.249,73",raise
1334,262,01/12/2017,"R$ 1.650,76",raise
1450,284,28/11/2017,"R$ 3.363,47",initial
1361,265,01/11/2017,"R$ 5.475,41",raise
1259,243,01/11/2017,"R$ 2.104,76",raise
1404,273,24/10/2017,"R$ 4.067,69",initial
509,97,01/10/2017,"R$ 3.363,47",raise
1494,296,24/09/2017,"R$ 1.834,17",raise
1304,256,18/09/2017,"R$ 2.254,67",raise
1341,263,17/09/2017,"R$ 3.033,66",raise
1610,329,06/09/2017,"R$ 3.033,66",raise
1238,240,05/09/2017,"R$ 3.873,26",raise
1609,329,05/09/2017,"R$ 2.901,29",initial
634,116,01/09/2017,"R$ 14.505,15",raise
783,138,01/09/2017,"R$ 4.509,93",raise
1538,308,01/09/2017,"R$ 4.357,42",raise
431,84,29/08/2017,"R$ 2.104,76",raise
430,84,28/08/2017,"R$ 2.012,92",initial
639,117,23/08/2017,"R$ 3.139,83",raise
638,117,22/08/2017,"R$ 3.002,83",initial
659,118,11/08/2017,"R$ 3.742,28",raise
1421,276,06/08/2017,"R$ 2.333,58",raise
712,123,06/08/2017,"R$ 2.104,76",raise
1544,309,01/08/2017,"R$ 1.654,32",raise
469,91,20/07/2017,"R$ 3.873,26",raise
417,81,20/07/2017,"R$ 2.334,58",raise
416,81,19/07/2017,"R$ 2.333,58",raise
699,122,16/07/2017,"R$ 3.249,73",raise
1566,315,01/07/2017,"R$ 2.730,29",raise
1258,243,02/05/2017,"R$ 1.712,22",raise
633,116,01/05/2017,"R$ 12.186,64",raise
1526,306,01/05/2017,"R$ 11.947,45",raise
1440,278,01/05/2017,"R$ 5.806,74",raise
1360,265,01/05/2017,"R$ 5.290,25",raise
1374,267,01/05/2017,"R$ 5.237,35",raise
1595,322,01/05/2017,"R$ 4.938,50",raise
572,108,01/05/2017,"R$ 4.400,21",raise
782,138,01/05/2017,"R$ 4.357,42",raise
1537,308,01/05/2017,"R$ 4.210,06",raise
468,91,01/05/2017,"R$ 3.742,28",raise
1237,240,01/05/2017,"R$ 3.742,28",raise
658,118,01/05/2017,"R$ 3.481,19",raise
1472,291,01/05/2017,"R$ 3.412,86",raise
1403,272,01/05/2017,"R$ 3.363,47",raise
508,97,01/05/2017,"R$ 3.249,73",raise
674,119,01/05/2017,"R$ 3.139,83",raise
698,122,01/05/2017,"R$ 3.033,66",raise
1340,263,01/05/2017,"R$ 2.333,58",raise
1420,276,01/05/2017,"R$ 2.254,67",raise
415,81,01/05/2017,"R$ 2.178,42",raise
1303,256,01/05/2017,"R$ 2.178,42",raise
1565,315,01/05/2017,"R$ 1.894,28",raise
1491,295,01/05/2017,"R$ 1.834,17",raise
