id,person,start_date,end_date,name,level
1051,269,01/07/2015,01/10/2015,ANALISTA DE CUSTOS SÊNIOR - NÍVEL 3,ANALISTA
1067,274,01/07/2015,03/02/2017,ANALISTA FISCAL PLENO - NÍVEL 2,ANALISTA
1069,275,01/07/2015,21/11/2016,ANALISTA FISCAL PLENO - NÍVEL 2,ANALISTA
1106,293,01/07/2015,25/05/2016,ADVOGADO JÚNIOR - NÍVEL 3,ADVOGADO
1137,306,01/07/2015,26/07/2017,GERENTE CONTÁBIL PLENO - NÍVEL 2,GERENTE
1161,315,01/07/2015,01/07/2017,ASSISTENTE ADMINISTRATIVO III - NÍVEL 3,ASSISTENTE
1121,297,08/06/2015,22/07/2015,ASSISTENTE FISCAL II - NÍVEL 3,ASSISTENTE
552,108,01/06/2015,01/05/2016,ANALISTA DE RECURSOS HUMANOS SENIOR - NIVEL 2,ANALISTA
1005,257,01/06/2015,01/05/2016,ASSISTENTE FISCAL I - NÍVEL 1,ASSISTENTE
1060,272,01/06/2015,01/05/2016,ADVOGADO JÚNIOR - NÍVEL 2,ADVOGADO
1076,277,01/06/2015,18/09/2015,ANALISTA FISCAL JÚNIOR - NÍVEL 3,ANALISTA
1168,316,01/06/2015,03/02/2016,ASSISTENTE JURÍDICO I - NÍVEL 1,ASSISTENTE
973,243,04/05/2015,01/11/2015,ASSISTENTE JURÍDICO I - NÍVEL 1,ASSISTENTE
1035,265,01/05/2015,01/11/2015,ANALISTA FISCAL PLENO - NÍVEL 4,ANALISTA
1155,312,01/05/2015,30/03/2016,ANALISTA CONTÁBIL PLENO - NÍVEL 4,ANALISTA
512,97,01/04/2015,01/10/2015,ANALISTA FISCAL JUNIOR - NIVEL 2,ANALISTA
956,86,01/04/2015,01/09/2015,ASSISTENTE ADMINISTRATIVO II - NÍVEL 5,ASSISTENTE
962,240,01/04/2015,01/09/2015,ANALISTA FISCAL JÚNIOR - NÍVEL 4,ANALISTA
1082,278,01/04/2015,01/10/2015,COORDENADOR ADMINISTRATIVO FINANCEIRO PLENO - NÍVEL 2,COORDENADOR
1129,302,01/04/2015,04/04/2016,ANALISTA CONTÁBIL PLENO - NÍVEL 1,ANALISTA
589,116,01/03/2015,01/10/2015,COORDENADOR FISCAL SENIOR - NIVEL 3,COORDENADOR
680,138,01/03/2015,01/09/2015,ANALISTA FISCAL PLENO - NIVEL 3,ANALISTA
955,86,01/03/2015,01/04/2015,ASSISTENTE ADMINISTRATIVO II - NÍVEL 3,ASSISTENTE
961,240,01/03/2015,01/04/2015,ANALISTA FISCAL JÚNIOR - NÍVEL 3,ANALISTA
1110,294,01/03/2015,01/09/2015,ANALISTA CONTÁBIL PLENO - NÍVEL 2,ANALISTA
1173,319,11/02/2015,01/08/2015,ANALISTA FISCAL JÚNIOR - NÍVEL 1,ANALISTA
601,118,01/02/2015,01/08/2015,ASSISTENTE FISCAL II - NIVEL 2,ASSISTENTE
613,119,01/02/2015,01/12/2015,ANALISTA FISCAL JUNIOR - NIVEL 1,ANALISTA
1014,259,01/02/2015,01/08/2015,COORDENADOR FISCAL JÚNIOR - NÍVEL 2,COORDENADOR
1043,266,01/02/2015,01/08/2015,ANALISTA FISCAL JÚNIOR - NÍVEL 1,ANALISTA
1128,302,01/02/2015,01/04/2015,ANALISTA CONTÁBIL JÚNIOR - NÍVEL 5,ANALISTA
1157,313,01/02/2015,01/08/2015,ANALISTA CONTÁBIL JÚNIOR - NÍVEL 5,ANALISTA
1195,332,01/02/2015,27/11/2015,ANALISTA CONTÁBIL JÚNIOR - NÍVEL 2,ANALISTA
1068,275,27/01/2015,01/07/2015,ANALISTA FISCAL PLENO - NÍVEL 1,ANALISTA
452,81,19/01/2015,01/01/2017,ASSISTENTE FISCAL I - NIVEL 4,ASSISTENTE
1066,274,07/01/2015,01/07/2015,ANALISTA FISCAL PLENO - NÍVEL 1,ANALISTA
1160,315,06/01/2015,01/07/2015,ASSISTENTE ADMINISTRATIVO III - NÍVEL 1,ASSISTENTE
1034,265,01/01/2015,01/05/2015,ANALISTA FISCAL PLENO - NÍVEL 2,ANALISTA
1050,269,01/01/2015,01/07/2015,ANALISTA DE CUSTOS SÊNIOR - NÍVEL 2,ANALISTA
1075,277,01/01/2015,01/06/2015,ANALISTA FISCAL JÚNIOR - NÍVEL 2,ANALISTA
1105,293,01/01/2015,01/07/2015,ADVOGADO JÚNIOR - NÍVEL 2,ADVOGADO
1136,306,01/01/2015,01/07/2015,GERENTE CONTÁBIL JÚNIOR - NÍVEL 5,GERENTE
1170,317,01/01/2015,09/02/2016,ANALISTA FISCAL JÚNIOR - NÍVEL 1,ANALISTA
511,97,01/10/2014,01/04/2015,ANALISTA FISCAL JUNIOR - NIVEL 1,ANALISTA
960,240,01/10/2014,01/03/2015,ANALISTA FISCAL JÚNIOR - NÍVEL 2,ANALISTA
1156,313,04/08/2014,01/02/2015,ANALISTA CONTÁBIL JÚNIOR - NÍVEL 4,ANALISTA
1194,332,04/08/2014,01/02/2015,ANALISTA CONTÁBIL JÚNIOR - NÍVEL 1,ANALISTA
600,118,01/08/2014,01/02/2015,ASSISTENTE FISCAL II - NIVEL 1,ASSISTENTE
679,138,01/08/2014,01/03/2015,ANALISTA FISCAL PLENO - NIVEL 1,ANALISTA
1013,259,01/08/2014,01/02/2015,COORDENADOR FISCAL JÚNIOR - NÍVEL 1,COORDENADOR
1049,269,21/07/2014,01/01/2015,ANALISTA DE CUSTOS SÊNIOR - NÍVEL 1,ANALISTA
1104,293,07/07/2014,01/01/2015,ADVOGADO JÚNIOR - NÍVEL 1,ADVOGADO
1169,317,07/07/2014,01/01/2015,ASSISTENTE FISCAL III - NÍVEL 5,ASSISTENTE
612,119,04/06/2014,01/02/2015,ANALISTA FISCAL I - NIVEL 1,ANALISTA
510,97,01/05/2014,01/10/2014,ASSISTENTE FISCAL III - NIVEL 5,ASSISTENTE
551,108,01/05/2014,01/06/2015,ANALISTA DE RECURSOS HUMANOS SENIOR - NIVEL 1,ANALISTA
588,116,01/05/2014,01/03/2015,COORDENADOR FISCAL PLENO - NIVEL 5,COORDENADOR
599,118,01/05/2014,01/08/2014,ASSISTENTE FISCAL I - NIVEL 4,ASSISTENTE
678,138,01/05/2014,01/08/2014,ANALISTA FISCAL JUNIOR - NIVEL 3,ANALISTA
954,86,01/05/2014,01/03/2015,ASSISTENTE ADMINISTRATIVO II - NÍVEL 2,ASSISTENTE
959,240,01/05/2014,01/10/2014,ANALISTA FISCAL JÚNIOR - NÍVEL 1,ANALISTA
972,242,01/05/2014,07/04/2016,ANALISTA FISCAL JÚNIOR - NÍVEL 5,ANALISTA
1012,259,01/05/2014,01/08/2014,ANALISTA FISCAL PLENO - NÍVEL 3,ANALISTA
1033,265,01/05/2014,01/01/2015,ANALISTA FISCAL PLENO - NÍVEL 1,ANALISTA
1059,272,01/05/2014,01/06/2015,ADVOGADO JÚNIOR - NÍVEL 1,ADVOGADO
1074,277,01/05/2014,01/01/2015,ANALISTA FISCAL JÚNIOR - NÍVEL 1,ANALISTA
1081,278,01/05/2014,01/04/2015,COORDENADOR ADMINISTRATIVO FINANCEIRO PLENO - NÍVEL 1,COORDENADOR
1087,281,01/05/2014,06/03/2015,ASSISTENTE FISCAL I - NÍVEL 4,ASSISTENTE
1109,294,01/05/2014,01/03/2015,ANALISTA CONTÁBIL PLENO - NÍVEL 1,ANALISTA
1113,295,01/05/2014,01/09/2015,ASSISTENTE FISCAL II - NÍVEL 2,ASSISTENTE
1127,302,01/05/2014,01/02/2015,ANALISTA CONTÁBIL JÚNIOR - NÍVEL 4,ANALISTA
1133,305,01/05/2014,20/03/2015,ANALISTA FISCAL JÚNIOR - NÍVEL 4,ANALISTA
1135,306,01/05/2014,01/01/2015,GERENTE CONTÁBIL JÚNIOR - NÍVEL 3,GERENTE
1154,312,01/05/2014,01/05/2015,ANALISTA CONTÁBIL PLENO - NÍVEL 3,ANALISTA
1086,281,17/03/2014,01/05/2014,AUXILIAR FISCAL II - NÍVEL 3,AUXILIAR
1132,305,17/03/2014,01/05/2014,ANALISTA FISCAL II - NÍVEL 3,ANALISTA
958,240,05/03/2014,01/05/2014,ANALISTA FISCAL I - NÍVEL 1,ANALISTA
1042,266,19/02/2014,01/02/2015,ANALISTA FISCAL I - NÍVEL 1,ANALISTA
598,118,11/02/2014,01/05/2014,AUXILIAR FISCAL II - NIVEL 3,AUXILIAR
1134,306,20/01/2014,01/05/2014,GERENTE,GERENTE
509,97,01/01/2014,01/05/2014,AUXILIAR FISCAL II - NIVEL 3,AUXILIAR
587,116,01/01/2014,01/05/2014,COORDENADOR FISCAL II - NIVEL 3,COORDENADOR
1108,294,01/01/2014,01/05/2014,ANALISTA CONTÁBIL II - NÍVEL 1,ANALISTA
1153,312,01/01/2014,01/05/2014,ANALISTA CONTÁBIL II - NÍVEL 3,ANALISTA
1073,277,09/12/2013,01/05/2014,ANALISTA FISCAL I - NÍVEL 1,ANALISTA
1080,278,01/11/2013,01/05/2014,COORDENADOR ADMINISTRATIVO FINANCEIRO III - NÍVEL 5,COORDENADOR
1126,302,21/10/2013,01/05/2014,ANALISTA CONTÁBIL II - NÍVEL 1,ANALISTA
508,97,01/10/2013,01/01/2014,AUXILIAR FISCAL II - NIVEL 1,AUXILIAR
1011,259,01/10/2013,01/05/2014,ANALISTA FISCAL II - NÍVEL 2,ANALISTA
1032,265,01/10/2013,01/05/2014,ANALISTA FISCAL I - NÍVEL 4,ANALISTA
1112,295,04/09/2013,01/05/2014,AUXILIAR FISCAL II - NÍVEL 4,AUXILIAR
953,86,02/09/2013,01/05/2014,AUXILIAR ADMINISTRATIVO I - NÍVEL 1,AUXILIAR
1107,294,02/09/2013,01/01/2014,ANALISTA CONTÁBIL I - NÍVEL 4,ANALISTA
677,138,01/09/2013,01/05/2014,ANALISTA FISCAL II - NIVEL 2,ANALISTA
1010,259,01/08/2013,01/10/2013,ANALISTA FISCAL I - NÍVEL 5,ANALISTA
971,242,10/06/2013,01/05/2014,ANALISTA FISCAL II - NÍVEL 2,ANALISTA
550,108,03/06/2013,01/05/2014,PSICOLOGA,PSICOLOGA
1089,283,02/05/2013,06/01/2015,ASSISTENTE JURÍDICO I - NÍVEL 1,ASSISTENTE
586,116,01/05/2013,01/01/2014,COORDENADOR FISCAL II - NIVEL 1,COORDENADOR
676,138,01/05/2013,01/09/2013,ANALISTA FISCAL I - NIVEL 3,ANALISTA
1031,265,01/05/2013,01/10/2013,ANALISTA FISCAL I - NÍVEL 2,ANALISTA
1079,278,01/05/2013,01/11/2013,COORDENADOR ADMINISTRATIVO FINANCEIRO III - NÍVEL 3,COORDENADOR
1030,265,12/11/2012,01/05/2013,AUXILIAR FISCAL I - NÍVEL 2,AUXILIAR
507,97,25/10/2012,01/10/2013,AUXILIAR FISCAL I - NIVEL 1,AUXILIAR
675,138,01/10/2012,01/05/2013,ANALISTA FISCAL I - NIVEL 1,ANALISTA
1152,312,07/05/2012,01/01/2014,ANALISTA CONTÁBIL II - NÍVEL 2,ANALISTA
585,116,01/05/2012,01/05/2013,COORDENADOR FISCAL I - NIVEL 3,COORDENADOR
674,138,01/05/2012,01/10/2012,AUXILIAR FISCAL III - NIVEL 5,AUXILIAR
1009,259,01/05/2012,01/08/2013,ANALISTA FISCAL I - NÍVEL 2,ANALISTA
1058,272,01/05/2012,01/05/2014,ASSISTENTE JURÍDICO I - NÍVEL 2,ASSISTENTE
1078,278,01/05/2012,01/05/2013,COORDENADOR ADMINISTRATIVO FINANCEIRO III - NÍVEL 2,COORDENADOR
